"CVT" "CVE" "rel" "varT.M" "SE_T.M" "varE.M" "SE_E.M" "rel.M" "ase.M" "varT.MAE" "varE.MAE" "rel.MAE" "tau_T" "tau_E" "tau_rel" "p_T" "p_E" "p_rel" "tau_rel_cT" "tau_rel_cE" "tau_rel_cTE"
0 0.1 0.7 7 1.41507109075701 3 0.133223758381576 0.700625899996983 0.0446280558873044 7 2.98800320348019 0.703671111313084 0 0.26905677677581 0 1 2.40366125805457e-61 NA 0 0 0
0.1 0.1 0.7 7 1.3623078729807 3 0.133511883212529 0.699208991382838 0.04483927615258 6.90575784918772 2.98759684376246 0.704521453589883 0 0.265163789920311 0 0.999999999999958 1.63864318607214e-57 NA 0 0 0
0.2 0.1 0.7 7 1.36708817515153 3 0.132484347539769 0.694866623809327 0.0454865980910907 6.70014585923218 2.98905947658522 0.707205880840439 0.514088919479976 0.265840161270304 0.0134733806756457 0.237306005423427 1.22153506787399e-56 NA 0 0 0
0.3 0.1 0.7 7 1.3559675830282 3 0.132625618264731 0.68583211423818 0.0468333832607211 6.64527520233938 2.99021192587905 0.70251082813542 1.60709889820629 0.274513273054193 0.0469461511937703 4.53084307887829e-19 1.02896076125142e-71 NA 0 0.0384634025357668 0
0 0.2 0.7 7 1.39631484401893 3 0.132453794514267 0.702582645132259 0.0443363615448299 7.00000000000001 2.98926180186584 0.712309952354507 0 0.587912243881702 0.0290970891654082 1 0 NA 0.0290970891654082 0 0
0.1 0.2 0.7 7.00000000000001 1.37722360067603 3 0.131690497378832 0.701118792235434 0.0445545798505872 6.93625266468544 2.98943537066041 0.71077920665034 0 0.585889976516313 0.0365305098341255 0.999999999999972 0 NA 0.0334812266371647 0 0
0.2 0.2 0.7 7.00000000000001 1.38732565934501 3 0.134040616529853 0.696576184033468 0.0452317518995701 6.68091733126523 2.98880673292031 0.709435684756571 0.519861612105814 0.58582265904928 0.0429348327133638 0.270457431861883 0 NA 0.0230505341589156 0 0
0.3 0.2 0.7 7.00000000000001 1.39448292251972 3 0.133620429270276 0.688196337906824 0.0464809456049144 6.62479280311327 2.98709610718874 0.703136224213369 1.58470354292833 0.573777368645986 0.0592349188629279 1.48187760424528e-18 0 NA 0.018291087987942 0.0399281770239348 0
0 0.3 0.7 7 1.39019463253827 3 0.134529154223333 0.705902962241204 0.0438413978939993 7.00000000000001 2.98739806104775 0.715309451497908 0 0.885688441375333 0.0622121991534541 1 0 NA 0.0622121991534541 0.0103126880427316 0.0103126880427316
0.1 0.3 0.7 7.00000000000001 1.38216843425534 3 0.131276547747314 0.704468756846664 0.0440551966110585 6.87241820231966 2.988762804267 0.714760933361408 0 0.887334363788109 0.0591789972751919 0.999999999999929 0 NA 0.0572347869091427 0 0
